\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f4b\u2136Quoi ? Comment oses-tu me\u2328donner un cadeau aussi nul ?\u2328Pour mon anniversaire !\u232bJe suis une Desse trs\u2328triste maintenant, bravo...
\u1f46\u1fc6\u1f4b\u2136Quoi ? Comment peux-tu me\u2328donner a en cadeau ?\u232bTu as fait de moi une\u2328Desse malheureuse...
\u1f46\u1fc6\u1f4b\u2136Quoi ! C'est le plus\u2328mauvais cadeau que j'aie\u2328jamais reu !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !\u2328C'est moi, la merveilleuse\u2328Desse des rcoltes !\u232b\u1f46\u1fc6\u1f49\u2136Merci beaucoup pour les\u2328fleurs de la fte des\u2328fleurs, \u232a !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
\u1f46\u1fc6\u1f48\u2136Ta, ta, ta !
